County,Year,Population
Greene,1996,"47,170"
Greene,1997,"47,346"
Greene,1998,"47,771"
Greene,1999,"47,975"
Greene,2000,"47,986"
Greene,2001,"47,976"
Greene,2002,"48,177"
Greene,2003,"48,416"
Greene,2004,"48,755"
Greene,2005,"49,142"
Greene,2006,"49,513"
Greene,2007,"49,537"
Greene,2008,"49,467"
Greene,2009,"49,372"
Greene,2010,"49,155"
Greene,2011,"48,948"
Greene,2012,"48,750"
Greene,2013,"48,540"
Greene,2014,"48,266"
Greene,2015,"47,997"
Greene,2016,"47,928"
Greene,2017,"47,921"
Greene,2018,"47,991"
Greene,2019,"47,872"
Greene,2020,"47,743"
Greene,2021,"48,272"
Greene,2022,"47,654"
Greene,2023,"47,411"
Greene,2024,"47,311"
Hamilton,1990,"5,292"
Hamilton,1991,"5,362"
Hamilton,1992,"5,366"
Hamilton,1993,"5,318"
Hamilton,1994,"5,279"
Hamilton,1995,"5,245"
Hamilton,1996,"5,354"
Hamilton,1997,"5,274"
Hamilton,1998,"5,296"
Hamilton,1999,"5,325"
Hamilton,2000,"5,377"
Hamilton,2001,"5,312"
Hamilton,2002,"5,232"
Hamilton,2003,"5,181"
Hamilton,2004,"5,158"
Hamilton,2005,"5,093"
Hamilton,2006,"4,987"
Hamilton,2007,"4,969"
Hamilton,2008,"4,893"
Hamilton,2009,"4,858"
Hamilton,2010,"4,870"
Hamilton,2011,"4,919"
Hamilton,2012,"4,969"
Hamilton,2013,"5,007"
Hamilton,2014,"5,015"
Hamilton,2015,"5,088"
Hamilton,2016,"5,020"
Hamilton,2017,"5,012"
Hamilton,2018,"5,063"
Hamilton,2019,"5,122"
Hamilton,2020,"5,073"
Hamilton,2021,"5,109"
Hamilton,2022,"5,102"
Hamilton,2023,"5,068"
Hamilton,2024,"5,083"
Herkimer,1990,"65,883"
Herkimer,1991,"66,344"
Herkimer,1992,"66,602"
Herkimer,1993,"66,926"
Herkimer,1994,"67,038"
Herkimer,1995,"66,711"
Herkimer,1996,"66,454"
Herkimer,1997,"65,818"
Herkimer,1998,"64,909"
Herkimer,1999,"64,462"
Herkimer,2000,"64,451"
Herkimer,2001,"64,274"
Herkimer,2002,"63,971"
Herkimer,2003,"64,080"
Herkimer,2004,"64,332"
Herkimer,2005,"64,292"
Herkimer,2006,"64,029"
Herkimer,2007,"64,343"
Herkimer,2008,"64,404"
Herkimer,2009,"64,381"
Herkimer,2010,"64,447"
Herkimer,2011,"64,273"
Herkimer,2012,"64,025"
Herkimer,2013,"63,591"
Herkimer,2014,"63,004"
Herkimer,2015,"62,178"
Herkimer,2016,"61,862"
Herkimer,2017,"61,529"
Herkimer,2018,"61,004"
