County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Bronx,2015,36299,13409,91,556,4386,8376,22890,2530,18767,1593,1474117,2462.4232676239403,1552.7939776829112,909.6292899410291,6.1731870672409315,37.7174946086369,297.5340491969091,568.2045590682422,171.6281679134017,1273.1011174825337,108.06469228697587
Bronx,2016,36834,13817,98,615,4297,8807,23017,2459,19191,1367,1484928,2480.524308249289,1550.0414834928024,930.4828247564866,6.599646582191191,41.41614946987328,289.3742996293423,593.0927290750798,165.5972545470218,1292.3858934574605,92.05833548831997
Bronx,2017,35507,12534,72,551,3570,8341,22973,2108,19509,1356,1487801,2386.5422862331725,1544.0909100074539,842.4513762257184,4.839356876356448,37.03452276211671,239.95144511934058,560.6260514679046,141.6856152133249,1311.2640736227493,91.14122117137977
Bronx,2018,35355,12514,91,662,3213,8548,22841,2095,19434,1312,1486756,2377.9961204124957,1536.2978188754578,841.6983015370377,6.120708441734891,44.52647240031317,216.1080903658704,574.9430303291192,140.91081522455602,1307.1411852381966,88.24581841270525
Bronx,2019,35255,13157,84,645,3530,8898,22098,1750,19081,1267,1479222,2383.347462382252,1493.893411536605,889.4540508456472,5.67866080953366,43.60400264463346,238.63896021016456,601.5324271813156,118.30543353195127,1289.934844127521,85.6531338771327
Bronx,2020,36217,13129,111,523,3519,8976,23088,2230,18728,2130,1461233,2478.52327452227,1580.0354905754248,898.4877839468448,7.596324473920312,35.79169098973264,240.82401642996015,614.2757520532317,152.61084303461527,1281.6573400682848,145.76730747252492
Bronx,2021,38311,14819,148,619,4048,10004,23492,1925,18432,3135,1420980,2696.0970597756477,1653.225238919619,1042.871820856029,10.415347154780504,43.56148573519683,284.8738194766992,704.0211684893524,135.46988697940859,1297.1329645737449,220.62238736646538
Bronx,2022,48270,17592,131,666,5166,11629,30678,2582,24044,4052,1384053,3487.58320671246,2216.533615403456,1271.0495913090033,9.46495546052066,48.11954455501343,373.2516023591582,840.213488934311,186.5535496111782,1737.2167106317459,292.76335516053217
Bronx,2023,50895,16552,121,675,4919,10837,34343,2869,25961,5513,1380478,3686.7664678466444,2487.761485514438,1199.0049823322065,8.765079921592376,48.89610700061863,356.3258523496934,785.0179430603023,207.82656442188866,1880.5804945823113,399.3544265102378
Bronx,2024,50844,17160,114,672,4937,11437,33684,2947,26127,4610,1406052,3616.0824777462,2395.6439733381126,1220.4385044080873,8.107808246067714,47.7933959768202,351.12499395470434,813.4123062304951,209.59395527334695,1858.181631973782,327.86838609098385
Broome,1990,14960,612,14,94,136,368,14348,2394,11182,772,212252,7048.225693986393,6759.889188323314,288.3365056630797,6.595933136083524,44.286979627989375,64.07477903623995,173.3788138627669,1127.9045662702824,5268.26602340614,363.7185986468914
Broome,1991,14894,678,10,120,120,428,14216,2494,11154,568,212820,6998.40240578893,6679.823324875482,318.57908091344797,4.6988065031482,56.385678037778405,56.385678037778405,201.10891833474298,1171.8823418851612,5241.048773611503,266.8922093788178
Broome,1992,13878,730,10,76,126,518,13148,2300,10482,366,213460,6501.452262719011,6159.467815984259,341.9844467347512,4.68471844842125,35.6038602080015,59.027452450107745,242.66841562822074,1077.4852431368874,4910.521877635155,171.46069521221773
